symbol,Business Content
CSCO,ネットワーク機器最大手
CSGP,情報提供会社。米国の商業不動産業界と関連業界に建物専門情報を提供する。
CSGS,通信産業向けにビジネス・サポート・ソリューションを提供する企業。
CSII,動脈から硬化プラークとカルシウムを取り除く医療機器を開発・製造する医療機器会社。
CSIQ,カナダの太陽光発電会社
CSL,建築資材、輸送素材などの製造・販売を手掛ける多角的企業。
CSLT,企業の医療費管理向けにクラウドソフトウェアを提供している企業
CSOD,オン・デマンド従業員開発コンピューター・ソフトウエアの開発、販売
CSPI,IT統合ソリューションやクラスタコンピュータシステムの開発、マーケティングを行う米国の情報技術企業
CSPR,寝具の製造・販売をしている会社。
CSSE,テレビ番組やオンラインビデオ番組の制作会社
CSTL,ゲノム情報を利用した皮膚癌向けの診療方法を提供する米国の会社
CSU,高齢者向け住宅コミュニティを運営している企業
CSV,米国の葬儀会社
CSWI,工業化学品を製造、販売している会社
CSX,国際的運送会社
CTAS,業務用制服会社
CTBI,銀行持株会社
CTG,企業コンサルティング、電子事業、IT管理ソリューションを提供コンサルタント会社。
CTHR,宝石メーカー
CTIC,副作用の少ない癌治療薬を開発および商品化を手掛けるバイオ医薬品会社
CTKB,細胞分析ソリューションを提供。
CTLP,ソフトウエア開発・決済会社。小売市場向けに無人のエンドツーエンドの技術ソリューションを提供する。
CTLT,薬品、生物製剤、大衆薬の配送技術および開発ソリューションを提供する会社
CTMX,腫瘍治療に注力しているバイオ医薬品会社。
CTOS,電気事業、通信、鉄道市場向けの特殊レンタル機器を提供。
CTRA,独立系石油・ガス会社
CTRM,キプロスの海運会社。
CTRN,米国のディスカウント衣料品店
CTS,電子部品とセンサーのメーカー及び電子装置製造サービスの提供をしている会社
CTSH,カスタムITコンサルタント・テクノロジーサービス会社
CTSO,免疫療法を専門とする企業
CTVA,大豆などの農産物の種などを提供している会社。
CTXR,米国の特殊医薬品メーカー
CTXS,ソフトウエアメーカー
CUBI,ペンシルベニア州全域で事業を展開する銀行。
CUE,米国のバイオ医薬品企業
CUEN,銀行サービスを銀行口座のない市場、銀行口座のない市場、新興市場に提供。
CULP,主に布張り家具の製造に使う張り生地の製造･調達･市販に従事している会社
CURI,メディアエンターテイメント企業。ドキュメンタリー、テレビ番組、ショートコンテンツなどのビデオ番組を加入者に提供。
CURO,米国、カナダ、英国において消費者金融サービスを提供している会社。
CURV,子会社を通じ、プラスサイズのトップス、ショートパンツ、スカート、ジーンズなどのアパレル製品を提供。
CUTR,医療機器会社
CVA,廃棄物のエネルギー化と発電プロジェクトを所有・運営
CVAC,バイオテクノロジー会社
CVBF,銀行持株会社
CVCO,米国のプレハブ住宅を製造・販売している会社
CVCY,米国の銀行持株会社
CVE,カナダで原油の生産・精製に従事
CVEO,カナダのオイルサンドやオーストラリアの天然資源地域で労働者向け宿泊施設を提供している企業
CVET,動物用医薬品事業
CVGI,車両部品会社
CVGW,付加価値のあるフレッシュフードを提供している会社
CVI,独立系精製業・輸送燃料販売会社。
CVLG,冷凍食品等を対象に、温度制御輸送サービスを手掛けるトラック輸送会社
CVLT,データ・情報管理ソフトウエア・アプリケーションを開発、販売
CVLY,銀行持株会社
CVM,バイオテクノロジー会社
CVNA,中古車購入のためのeコマースプラットフォームの運営をしている会社
CVR,留め具を製造している会社
CVRX,高血圧症や心不全の治療のための移植可能なデバイスの技術を専門とした医療機器の開発・製造に従事。高血圧や心不全の治療のために、体内の血流調節システムを作動させる埋め込み型機器の技術に特化しています。
CVS,ドラッグストアチェーンを全米で展開
CVU,米国軍隊用の構造航空機部品の受託生産をしている会社
CVX,米国石油大手
CW,様々な産業向けに技術サービスを提供する精密部品とシステムの設計、製造、整備会社。
CWAN,投資会計業務を簡素化するクラウドネイティブソフトウェアを開発。
CWBC,中小企業や世帯向けの融資や預金などの銀行商品や金融商品の提供をしている米国の銀行持株会社
CWBR,米国のバイオ医薬品企業
CWCO,海水淡水化プラントを開発、運営しているケイマン籍の会社
CWEN,再生･伝統発電と暖房インフラ資産を運営している会社
CWH,子会社を通じて、新型と中古の旅行用トレーラー、トレーラーハウス、衛星放送受信機、発電機、およびキャンピングカー用家電製品などレクリエーショナルビークルと付属品の小売販売を手掛けている持株会社。
CWK,米国の不動産サービスプロバイダー
CWST,米国の廃棄物処理会社
CWT,上水道サービスを提供している複数の水道事業持株会社
CXDC,プラスチックの研究、開発などを行う中国の化学製品メーカー
CXDO,米国のクラウド通信サービスのプロバイダ
CXM,カスタマーエクスペリエンス管理プラットフォームである「Sprinklr」を提供。
CYAN,米国の自然食品会社
CYBE,"3D,2D光学センサー等のセンサー技術の開発・製品製造している企業"
CYBR,サイバー攻撃等から企業の重要な特権アカウントの管理などITセキュリティソリューションを提供する企業
CYCC,開発段階にあるバイオ製薬企業
CYCN,臨床段階のバイオ医薬品会社
CYD,自動車・自動車関連を手掛けるシンガポールに本社を置くバミューダ籍の持株会社
CYH,主要都市部に所有・運営する病院を通じてヘルスケア・サービスを提供
CYRN,データ・インテリジェンスによるセキュリティ・ソリューションをクラウド上で提供している会社
CYRX,梱包システムメーカー。
CYT,臨床段階のバイオテクノロジー企業
CYTH,バイオテクノロジー企業
CYTK,心不全治療を適応とする医薬品薬候補の発見、開発、商業化に従事しているバイオ製薬会社
CYTO,内耳疾患用医薬品のスイスに本社を置くバミューダ籍の開発会社
CZNC,米国の銀行持株会社
CZR,オンラインゲーム事業も保有し、英国では現金を使ったカジノとポーカー、その他の地域では娯楽用ゲームも提供する。
CZWI,米国の貯蓄貸付持株会社
D,アメリカで送電、電力供給を行う総合電力持株会社
DAC,コンテナ船の運営を通して国際的な海上輸送サービスを提供している企業
DAIO,米国の電子機器メーカー向けプログラム・システム・メーカー。
DAKT,電子機器装置・部品の米国サプライヤー企業。
DAL,航空会社
DALN,米国の日刊紙出版会社。
DAN,自動車および工業市場を対象とした部品・システムの設計、製造、および販売に従事する自動車部品メーカー。
DAR,米国の栄養成分開発メーカー。
DARE,避妊、膣健康、疼痛、および産婦人科製品を手掛けるヘルスケア会社。
DASH,アプリを利用したフードデリバリーサービスを提供している会社
DAWN,臨床段階のバイオ医薬品会社。
DB,ドイツを代表する総合金融サービス企業
DBD,米国の自動取引機器およびセキュリティーシステムメーカー。
DBGI,卸売り及び直接販売チャネルを通じて多様なアパレルを提供
DBI,米国でブランド靴の小売店を運営
DBTX,米国のバイオテクノロジー企業
DBX,ファイル、写真、動画、音楽、スプレッドシートなどを保管・共有できるプラットフォームを提供する会社。
DCBO,クラウドベースの学習プラットフォームを提供するカナダの企業
DCI,フィルターメーカー
DCO,民間および軍用航空機､宇宙計画分野を中心に、各種部品の製造・組立を手掛ける航空部品メーカー。
DCOM,銀行持株会社。
DCPH,臨床段階でがん治療の反応速度を制限する薬剤耐性のメカニズムを研究し、新薬の開発に従事している米国のバイオ医薬品企業。
DCT,損害保険業界向けコアシステムのSaaSソリューションを提供している企業
DCTH,開発段階のスペシャリティ医薬品・医療機器会社
DD,総合化学大手
DDD,3Dプリンタメーカー
DDL,中国を拠点とするeコマース会社。
DDOG,クラウドベースのデータ分析ソフトウェアを提供している会社。
DDS,米国の南西部、南東部、中西部を中心に事業を展開している百貨店。
DE,世界的な農機具メーカー
DECK,アウトドアやスポーツ用のシューズ・アクセサリーのメーカー
DELL,コンピューター製品を提供している会社
DEN,米国のメキシコ湾沿いの地域で石油関 連企業向けに事業を展開
DENN,ファミリーレストランの直営およびフランチャイズ形式で運営。
DESP,アルゼンチンのオンライン旅行会社
DFFN,米国のバイオ医薬品企業
DFH,住宅の設計、建設、販売を行う米国の企業
DFIN,米国の金融ビジネス・サービス企業
DFS,米国第4位のクレジットカード会社
DG,ディスカウントの小売ストアチェーン
DGICA,米国の保険持株会社
DGII,世界各地の鉄道・エネルギー・産業セクター向けに事業を展開する通信ソフトウエア会社。
DGLY,監視カメラなどを製造するデジタル・セキュリティー製品メーカー
DGX,診断用検査、情報、サービスなどを提供する会社
DH,ヘルスケア分析やデータ管理など、ヘルスケアの商業的インテリジェンス・ソリューションを提供。
DHI,住宅建築・販売会社
DHIL,米国の投資顧問会社
DHR,専門器具メーカー
DHT,世界各地の石油会社に対し、原油タンカーによる運輸サービスを提供するマーシャル諸島籍の独立系原油タンカー会社。
DICE,慢性疾患患者のための免疫学における革新的な治療法を設計・開発。
DIDI,モビリティ・ソリューション、クラウド・コンピューティング、およびその他の アプリケーションベースのサービスを提供する旅客輸送プラットフォームを運営しています。
DIN,レストラン経営会社。
DIOD,ディスクリート（単機能）、ロジック、アナログの半導体部品メーカー。
DIS,娯楽サービス・メディア大手
DISCA,ノンフィクション番組制作会社
DISCB,コンテンツライセンス契約を含む複数の配信プラットフォームを通してコンテンツを提供している企業
DISCK,ノンフィクション番組放送会社。
DISH,衛星放送サービス提供会社
DIT,食品小売店会社を運営している企業
DJCO,新聞、ウェブサイト、雑誌で「California Lawyer」を出版している出版社
DK,子会社を通じて、石油精製、物流、およびガソリンスタンドでの小売業に従事している持株会社。
DKNG,eスポーツやオンラインカジノを提供している米国の企業
DKS,スポーツ用品販売店を展開
DLA,アパレルデザイン、マーケティング、製造を行う会社
DLB,音響技術開発会社
DLHC,米国のサポートサービス会社
DLO,決済プラットフォームを提供。
DLPN,エンターテイメントマーケティング及び制作会社
DLTH,アパレル製品のデザイン・小売会社
DLTR,1ドルショップチェーンを運営
DLX,小切手印刷および関連ビジネスサービス会社。
DM,最終用途部品の製造に焦点を合わせた積層造形技術を提供。
DMRC,技術サービス会社。ソリューション、知的所有権ライセンス、および開発サービスを提供。
DMS,マーケティングソリューションを提供
DMTK,皮膚がんや炎症性疾患の早期発見用医薬品を提供
DMYQ,消費者向けテクノロジーエコシステム内の企業に焦点を当てるブランクチェックカンパニー。
DNAY,合成生物学の会社。
DNB,世界中の企業情報を提供する米国大手のデータ会社
DNLI,アルツハイマー病、パーキンソン病、筋萎縮性側索硬化症（ALS)などに代表される神経変性疾患に対する治療薬の発見・開発に従事する米国のバイオ医薬品会社。
DNMR,生分解性プラスチック製品を製造する企業
DNN,ウラン鉱山の買収、探査およびウランの抽出、加工、販売事業に従事している会社
DNOW,資源会社向けに掘削機器やメンテナンス用品を販売
DNUT,アメリカのドーナツ会社。ドーナツと関連食品を販売する小売店を所有、運営、フランチャイズ。
DOCN,データセンターの運営・提供をしている会社
DOCS,オンラインヘルスケアリソースとインタラクティブなプラットフォームを開発。ドクシミティーのメンバーは、同僚との連携や、患者へのケア、遠隔での患者訪問を行うことができます。
DOCU,米国の電子署名サービスとデジタル・トランザクション・マネジメントのプラットフォームを提供する会社。
DOLE,新鮮な果物、野菜、食品を提供。
DOMO,米国のIT・ソフトウェア企業。
DOOR,カナダのドア製造持株会社
DORM,自動車・大型交換部品、締め金具、空気サスペンション、リモートキーレスエントリー、ウインドウレギュレーター、ドアロック作動装置、装填ナックル、その他の製品を販売する自動車用品・家庭用金物類販売会社。
DOV,各種専門工業製品と製造機器の メーカー
DOW,化学製品を製造している化学品メーカー。
DOX,有料テレビなどのサービスプロバイダー向けのソフトウェアとサービスを提供している企業
DPZ,宅配ピザチェーンを展開
DRI,北米でカジュアルレストランを運営
DRIO,スマートフォン・モバイルを利用した健康管理機器の製造・販売をしている会社
DRNA,肝疾患およびがん治療用のリボ核酸の発見・開発に従事バイオ医薬品メーカー。
DRQ,世界各地のオフショア地域で石油・ガス企業が使用する海中、海上、オフショアリグ機器用の製品を提供する海洋掘削・生産機器メーカー。設備の設営・修理のほかリースも手掛ける。
DRRX,米国の医薬品会社
DRVN,自動車のメンテナンスサービス等を提供している会社
DSEY,石鹸などの衛生用品を製造・販売している会社
DSGN,バイオ医薬品企業。
DSGX,カナダの物流ソリューション会社
DSKE,北米で事業を展開する輸送会社。
DSP,広告ソフトウェアを提供する企業
DSPG,集中型通信用システムオンチップ（SoC）ソリューションを開発・販売する、実際の工場を所有しない半導体会社。
DSS,印刷文書のセキュリティを専門とする米国の企業
DSX,海運サービスを提供
DT,クラウドサービスのためのプラットフォームを提供する会社。
DTE,総合エネルギー会社
DTEA,カナダの紅茶メーカー
DTIL,米国のゲノム編集プラットホーム運用会社
DTM,天然ガスのパイプラインを所有、運営、開発。
DTSS,中国のテクノロジー企業
DTST,サービスとしてのディザスタリカバリ、インフラストラクチャ（IaaS）、サイバーセキュリティ（CSaaS）、データ分析を提供。
DUK,多角化多国籍化したエネルギー企業。天然ガスと電力を供給する
DUOL,外国語の学習アプリ等、モバイル学習プラットフォームを設計・開発。
DUOT,ビデオ、センサーに関するAIテクノロジーを提供する米国の企業
DVA,人工透析サービス会社
DVAX,米国の臨床検査段階のバイオ医薬品会社
DVD,米国のモータースポーツ・イベント企画会社。
DVN,独立系エネルギー会社
DXC,ITサービスを提供する会社
DXCM,医療機器メーカー。糖尿病患者向け血糖値モニタリング・システムの設計・開発。
DXPE,工業顧客向けに保守・修理・点検（MRO）製品、機器及びサービスを提供している会社
DXR,医療機器製造会社
DY,信およびインフラ産業向けに特殊請負サービスを提供しているエンジニアリング会社。
DYAI,バイオテクノロ ジー会社
DYN,筋肉などに関する疾患の治療方法を開発する米国の企業
DZSI,世界中の電気通信・無線・有線事業者向けの通信ネットワーク装置を設計・開発・製造している企業
EA,大手ゲームソフトメーカー
EAF,天然、合成グラファイトやカーボンベースの製品とサービスを手掛ける電極メーカー｡黒鉛電極、石油ニードルコーク等を提供する会社。
EAR,補聴器関連のシステムやデバイスを提供する企業
EAT,世界でフランチャイズレストランを所有・運営
EB,オンラインチケットサービスを提供している。
EBAY,インターネット競売最大手
EBET,テクノロジー企業。ｅスポーツ賭博プラットフォームの開発に従事。
EBF,印刷・アパレル販売会社。
EBIX,ソフトウェア・ソリューションや製品を提供する保険業界向けソフトウェアメーカー。
EBMT,米国の貯蓄貸付持株会社
EBON,特定用途向け集積回路（ASIC）チップの設計とビットコインマイニングマシンの製造・販売を行う中国を拠点とする会社
EBS,米国の製薬メーカー。
EBSB,米国の銀行持株会社。
EBTC,商業および消費者ローン、預金、投資管理、信託、保険アービスなどの業務を手掛ける。
EC,商業開発及び炭化水素とその副産物の探査、採掘、精製、輸送、保管と販売など関連業務に従事。
ECHO,国内航空輸送、急送・国際輸送サービスを手掛ける米国の輸送・サプライチェーンマネジメントサービス会社。
ECL,ホテル・接客業、産業向けクリーニング、殺菌・害虫駆除、メンテナンスなどの関連製品およびサー ビスを提供
ECOL,廃棄物処理会社。
ECOM,電子商取引マーケットなどのため、小売業者や製造業者にオンライン・チャンネルを提供している企業。
ECOR,米国のバイオエレクトロニクス企業
ECPG,債務不履行となった受取債権のポートフォリオを銀行や信用組合、公益事業体から買い取る債権買取会社。
ECVT,化学品メーカー持株会社。
ED,米国電力大手。ニューヨーク市に電力を供給するほか、マンハッタンにガスを供給している
EDIT,ゲノム編集会社
EDR,エンターテインメント、スポーツ、コンテンツ事業を運営している企業
EDSA,米国のバイオ医薬品企業
EDTK,オンライン教育とテクノロジーサービスを提供。
EDUC,ホーム事業部門と出版部門の2部門で構成され本を販売している米国の取引出版社。
EEFT,電子金融取引ソリューションを提供している企業。
EEIQ,留学希望者向けにサポートシステムを提供する企業
EEX,米国のビジネス・サービス企業。
EFOI,高エネルギー効率の照明システムおよびソリューションの設計、開発、製造、商品化、設置に従事
EFSC,金融持株会社
EFX,財務、法務、広告宣伝、税務 などの集中管理サービスを提供する会社
EGAN,米国の顧客エンゲージメントソリューション会社
EGBN,不動産・商業・消費者ローンをはじめ、従来の当座預金や貯蓄用商品などを提供するEagleBankの持株会社。メリーランド州モントゴメリー郡を中心に事業を展開。
EGHT,VolP（インターネットプロトコルを使った音声伝送システム）作成用プラットフォーム、インターネット用PBXソリューション、音声・画像用半導体および関連ソフトウエアを手掛ける。
EGO,カナダの鉱山会社
EGRX,主に救命救急診療と腫瘍学分野で使用される注射剤製品を開発・販売する特殊医薬品メーカー。
EGY,原油および天然ガス田の 買収、探査、開発を手掛けている石油ガス会社。フィリピンとガボンに生産用の油田を保有し、探査活動も展開している。
EHC,入院専門のリハビリ病院、外来リハビリ施設、在宅看護会社を運営。
EHTH,インターネットを通じて健康保険を販売する。個人、家族、中小企業を対象にサービスを提供する保険会社。短期、歯科、眼科、グループ、生命、傷害、重病、ペット、旅行などの保険サービスを提供する。
EIG,危険産業危険産業に従事する特定の小企業を中心に労働者災害補償保険を提供している企業
EIGR,バイオテクノロジー企業
EIX,子会社を通じて、世界各地で発電所の建設、買収、所有、運営を行う会社
EJH,主にオンラインアプリケーション（APP）プラットフォームまたはコールセンターを介した家庭用サービスを運営。
EKSO,人体の強さや耐久性、移動性を支援・強化する外骨格ロボットを開発している会社
EL,化粧品メーカー
ELA,宝飾品販売会社。宝石、ダイヤモンド、高級時計、貴金属製品の卸売・小売に従事する。
ELAN,食品やコンパニオンアニマル用の動物用健康食品を開発、製造、販売している。
ELDN,バイオ医薬品会社
ELEV,臨床段階のバイオ医薬品企業。
ELF,化粧品メーカー。
ELMD,肺機能障害用の気道クリアランス治療機具メーカー。
ELMS,商用電気自動車ソリューション会社。
ELOX,米国のバイオ医薬品企業
ELP,ブラジルのパラナ州で発電、送電、配電および販売に従事。
ELSE,監視システム・メーカー。工業用の生産監視システムおよび処理制御システムを製造する。
ELTK,コンパクトな電子製品に利用される、カスタム製作された回路ソリューションを製作･提供。
ELVT,米国のオンラインクレジット・ソリューション会社
ELY,ゴルフクラブの設計・製造・販売をしている会社。
EMCF,The Farmers National Bank of Emlentonの持株会社。
EME,世界各地で機械設備・電力設備の建設および管理サービスを手掛けるエンジニアリング会社。
EMKR,ブロードバンド、光ファイバーなど幅広い製品を提供する通信サービス会社。
EML,産業用ハードウェア、セキュリティ製品や金属製品の製造及び販売を行っている会社
EMN,世界的な化学品メーカー
EMR,産業用自動機器などの電子製品を製造販売
ENB,カナダでエネルギーの輸送、配給や関連サービスを提供
ENDP,アイルランドにある鎮痛剤を主力とする特殊医薬品メーカー
ENFN,ポートフォリオ構築、トレーディング、リスク管理、会計、運用等の投資管理を顧客が管理できるソフトウェアを提供。
ENG,エネルギー業界向けに工学・専門サービスを提供。
ENLV,開発途上にあるバイオ医薬品企業
ENOB,バイオ医薬品会社
ENPH,太陽光発電のソリューション会社。
ENR,乾電池・懐中電灯メーカー
ENS,産業用バッテリーメーカー。
ENSC,オピオイドによる製薬を開発する会社。
ENSG,看護・リハビリサービス会社。
ENTA,研究開発に焦点を当てるバイオテクノロジー企業
ENTG,資材管理製品メーカー。
ENTX,高分子と生物製剤の経口送達を専門とするイスラエルのバイオテクノロジー企業。
ENV,コンピューターソフトウエア会社。
ENVA,ノンプライム層の消費者および小規模企業向けにオンライン金融サービスを提供する金融会社。
ENZ,米国のヘルスケア製品メーカー
EOG,石油・天然ガス会社
EOLS,美容医療のための麻酔を開発・製造・販売している会社。
EOSE,電力業界向けの電力システムを設計、製造、販売している企業
EPAC,業務用の多様な電動および産業用工具のブランド品を油圧・電動機器の卸売り業者、通販、小売り業者に提供している工業製品・システムメーカー。
EPAM,ITサービス会社。
EPAY,界各地の企業、金融機関、および銀行向けに、共同決済、請求書、および文書自動化のソリューションを提供している決済ソリューション会社。
EPC,消費者用製品メーカー
EPIX,進行前立腺がんの治療として自社の「EPI-506」と呼ばれる小分子化合物の開発に従事する開発段階の製薬会社
EPM,石油会社
EPZM,がん治療薬の開発、発見に従事する製薬会社。
EQ,自己免疫疾患および炎症性疾患の治療薬開発するバイオテクノロジー企業
EQBK,子会社を通じて、譲渡性預金、個人退職年金・マネーマーケット口座、ホームエクイティ・ローン、デビットカード、住宅ローン、財務管理、個人・法人ローン、投資サービスなどの銀行商品・サービスを提供
EQH,子会社を通じて、保険、ポートフォリオ構築、退職計画、資産配分、仲介、財務計画、不動産などの金融サービスを提供している。
EQOS,暗号資産に関するエコシステムを提供する香港の企業
EQT,総合エネルギー会社
ERAS,臨床段階にあるプレシジョン・オンコロジー企業。
ERF,北米の原油天然ガス探査開発会社
ERIE,エリー・インシュアランス・エクスチェンジの管理に従事する保険会社。
ERII,浄水装置メーカー。
ES,米国北東部を中心に電力を供給
ESCA,スポーツ用品事業と情報セキュリティ・印刷仕上げ事業を運営
ESE,電力、ガス、水道など公益事業を対象とした特殊目的用通信システムのほか、最新のメーターアプリケーションをサポートするソフトウエアを提供している会社。
ESGC,複数フォーマットのインド言語映画を共同制作、取得、配給しているメディア会社
ESGR,保険、再保険会社に経営、コンサルティング等のサービスを提供しているバミューダ籍の企業
ESI,化学製品を製造
ESLT,イスラエルの防衛システム会社
ESNT,バミューダ籍の保険持株会社
ESP,医療機器の開発・販売会社
ESPR,医療機器の開発・販売会社。低密度リポ・タンパク・コレステロール濃度の上昇抑制、および他のカルディオメタボリック・リスクに特化した経口療法と小分子療法を開発する。
ESQ,米国の銀行持株会社
ESSA,ESSA Bank & Trustの持株会社
ESTA,英領バージン諸島籍の医療機器メーカー持株会社
ESTC,米国のソフトウェア企業
ESTE,独立系エネルギー会社。石油・ガス鉱区の開発・操業に従事
ETD,家庭用家具とアクセサリーの製造・小売
ETN,商工業用、自動車用、建設用、半導体関連などの機器メーカー
ETNB,米国のバイオ医薬品企業
ETON,主に注射用、経口用、点眼用の液体製剤の開発・権利取得・商用化に従事
ETR,総合エネルギー会社
ETRN,天然ガスの中流事業資産を所有、運営、取得、開発している。また、天然ガス輸送、貯蔵および回収システムを管理している。
ETSY,世界最大のハンドメイドマーケットプレイスを展開する会社
ETWO,サプライチェーン管理ソフトウェアのプロバイダー。
EURN,国際的な海運及びオフショアサービスを提供
EVAX,癌や感染症の患者生活を改善するための人工知能主導の免疫療法の開発を行う臨床段階のバイオテクノロジー会社。
EVBG,ソフトウェア企業、重要な状況で多数の人々にメッセージングを提供するSaaS(software-as-a-service)プラットフォームを提供している。
EVC,米国のメディア会社
EVCM,マーケティング、ビジネス・マネジメント、カスタマー・エクスペリエンスのソフトウェア・ソリューション(Software as a Service)を提供。
EVER,米国の保険関連ITサービス企業。主にオンラインでの保険の見積もり比較や加入サービスを提供する。
EVFM,美容市場のための臨床製薬会社
EVGN,イスラエルの植物ゲノム会社
EVGO,電気自動車用急速充電ネットワークを運営。
EVH,専用プラットフォームの提供会社。
EVI,業務用洗たく機、ドライクリーニング機器などを販売している工業用機器販売会社
EVK,ブランドのファッションアパレルの小売業者。
EVLO,がん、自己免疫および炎症性疾患に対する免疫療法を開発
EVOK,胃腸疾患の治療薬の研究開発に従事している製薬会社
EVOL,米国のソフトウェア会社
EVOP,支払い技術およびサービスプロバイダーとして運営されている。小規模企業から多国籍企業に至る販売業者に支払いソリューションを提供。
EVR,投資銀行部門と投資管理部門の2つの事業を展開
EVRG,電力会社
EVRI,持株会社。子会社を通じ、ゲーム産業向けにカジノゲームの設計・開発・製造を手掛ける。
EVTC,プエルトリコの決済処理事業会社
EW,末期循環器疾患の治療製品・サービス会社
EWBC,商業・建設・不動産ローンや国際貿易の資金調達などに特化する銀行持株会社
EWCZ,家庭外ワックス脱毛サービスのフランチャイザーと運営会社。
EWTX,臨床段階のバイオ医薬品会社。
EXAS,米国の癌検出製品メーカー。
EXC,電力、天然ガスの供給会社
EXEL,バイオテクノロジー会社。
EXK,メキシコでの銀の採掘や精錬を行う銀生産会社
EXLS,米国の持株会社
EXP,セメント、石膏壁板、リサイクル板紙、コンクリート、骨材を製造、販売。
EXPD,世界的なロジスティクス会社
EXPE,オンライン旅行サービス最大手
EXPI,米国の不動産事業持株会社。子会社を通じ、居住用不動産仲介業務を行う。
EXPO,科学・エンジニアリング関連コンサルティング会社。
EXPR,20代・30代向けの衣料SPA
EXTN,幅広い石油・天然ガス生産・処理用機器を設計、製造、販売、設置している会社
EXTR,データ通信ネットワーク機器メーカー
EYE,子会社を通じて、眼鏡の製造・販売、コンタクトレンズの販売、検眼サービスなどに従事している会社。
EYEG,医薬品メーカー。目の疾患に対する非侵襲性の目薬デリバリシステムを開発。
EYEN,米国のバイオ医薬品企業
EYES,視力回復処置として人工埋め込みデバイスを開発、製造、販売している米国の医療機器会社
EYPT,注入、注射や挿入によって投与される薬物送達製品の開発に従事する会社
EZFL,オンデマンド燃料供給サービスを提供。
EZGO,リチウムイオン電池、電動自転車のレンタル・販売を行う企業
EZPW,質店を展開
F,大手自動車メーカー
FA,人的資本に関連するスクリーニング、検証、安全性、コンプライアンスのためのテクノロジーソリューションを提供する身元調査会社。
FAF,損害保険事業を運営
FAMI,主にシイタケ、キクラゲなどの乾燥食用キノコの加工と販売に従事。
FANG,独立系石油・天然ガス会社。
FARM,米国のコーヒー販売業者
FARO,電気部品・装置の米国メーカー
FAST,工業・建設資材の供給会社
FAT,世界各地で主にファーストフードレストランの開発、市場参入、買収を手掛けているフランチャイズレストラン運営企業。
FATE,臨床段階のバイオ医薬品会社
FB,ソーシャルネットワークサービス（SNS）運営大手
FBC,フラッグスター・バンクを保有している銀行持株会社。
FBHS,家庭・セキュリティー製品メーカー
FBIO,新規医薬品とバイオテクノロジー製品の取得、開発、および商業化を行うバイオ医薬品会社。
FBIZ,銀行持株会社
FBK,銀行持株会社
FBMS,米国の銀行持株会社
FBNC,銀行持株会社
FBP,主に商業機関向けの金融サービスを提供する子会社を持つ米国の金融持株会社
FBRX,患者の免疫システムに作用することで癌の治療を試みる臨床段階の研究に従事している企業
FC,個人や組織のタイムマネジメントサービスや評価サービスを提供している会社
FCAP,銀行サービスを提供しているFirst Harrison Bankの持株会社
FCBC,金融持株会社
FCCO,米国の銀行持株会社
FCCY,米国の銀行持株会社
FCEL,燃料電池発電の開発・販売
FCF,各種金融サービスを手掛ける銀行持株会社。
FCFS,各店舗を通じて、現金および信用に制約のある消費者にサービスを提供する質店を運営。
FCN,米国の経営コンサルティング会社
FCNCA,ノースカロライナ州でFirst-CitizensBank&TrustCompanyおよびIronstoneBankを保有する持株会社。
FCX,大手鉱山会社。主に金、銅、モリブデンを採掘
FDBC,米国の銀行持株会社
FDMT,臨床段階にある遺伝子治療企業。
FDP,米国拠点の食品メーカー
FDS,金融情報サービスを配信
FDX,運輸業、国内翌日配送の最大手
FE,公益事業持株会社
FEIM,米国拠点のケイマン籍の食品メーカー
FELE,水中モーター、ポンプ、電子制御装置と関連部品・機器を含む揚水システムと燃料ポンプシステムを設計・製造・販売している会社
FET,油田製品会社
FF,化学、バイオ燃料事業を運営している会社
FFBC,銀行業務関連事業を展開
FFBW,米国の銀行持株会社
FFIC,貯蓄貸付持株会社
FFIN,テキサス州で複数の銀行を運営する複数銀行持株会社。
FFIV,インターネットトラフィック・コンテンツの管理ソリューションを提供
FFNW,米国の銀行持株会社
FFWM,米国の銀行持株会社
FGBI,米国の銀行持株会社
FGEN,新薬の開発・商業化に特化した医薬品会社
FHB,子会社を通じ、貯蓄口座、個人ローンおよびビジネスローン、などの銀行商品およびサービスを提供している企業
FHI,投資運用商品および関連金融サービスを提供している会社
FHN,金融サービス持株会社
FIBK,銀行持株会社
FICO,予測分析と意思決定管理ソフトウェアのリーディングプロバイダー
FIGS,消費者向けのヘルスケアアパレルおよびライフスタイルブランド
FIS,支払い業務サービス
FISI,小売、商業と地方自治体顧客向けに預金、貸付及びその他金融サービスを提供している会社
FISV,総合的な情報管理・電子コマースシステムのサービス会社
FITB,総合金融サービス会社
FIVE,キッズ向けを中心とした5ドルチェーン店を展開
FIVN,クラウドコンタクトセンター向けソフトウエア会社。
FIX,暖房・換気・空調の設置、保守、修理及び交換サービスを提供している会社
FIXX,バイオテクノロジー会社。
FIZZ,米国の飲料メーカー。「ラクロア」、「リップイッツ」などのブランド名で炭酸飲料、発泡水、ミネラルウォーターといった様々な飲料商品を展開。
FKWL,モバイルホットスポット、ルーター、トラッカー、その他のデバイスを含むワイヤレスソリューションのプロバイダー。
FL,スポーツ用品メーカー
FLDM,BDCACS
FLEX,シンガポールの電子機器(ゲーム機・携帯など）の受託製造サービス会社
